"","state","friday","deaths","positives","negatives"
"1323","WV",2020-04-17,8,200,3926
"1324","AK",2020-04-10,4,89,1327
"1325","AL",2020-04-10,45,1536,9871
"1326","AR",2020-04-10,11,467,6954
"1327","AZ",2020-04-10,56,1343,11718
"1328","CA",2020-04-10,304,8771,120792
"1329","CO",2020-04-10,153,2782,9460
"1330","CT",2020-04-10,317,5624,10649
"1331","DC",2020-04-10,23,903,2868
"1332","DE",2020-04-10,19,876,5420
"1333","FL",2020-04-10,227,7946,63162
"1334","GA",2020-04-10,232,5652,15230
"1335","IA",2020-04-10,20,689,5811
"1336","ID",2020-04-10,15,462,4687
"1337","IL",2020-04-10,386,8983,30496
"1338","IN",2020-04-10,198,3470,13735
"1339","KS",2020-04-10,33,546,3794
"1340","KY",2020-04-10,59,923,10561
"1341","LA",2020-04-10,385,8956,29679
"1342","MA",2020-04-10,567,10575,28879
"1343","MD",2020-04-10,171,4210,16548
"1344","ME",2020-04-10,8,154,0
"1345","MI",2020-04-10,999,7593,22537
"1346","MN",2020-04-10,35,613,10283
"1347","MO",2020-04-10,77,1686,17584
"1348","MS",2020-04-10,53,1111,13879
"1349","MT",2020-04-10,1,122,2599
"1350","NC",2020-04-10,55,1815,24232
"1351","ND",2020-04-10,3,105,3705
"1352","NE",2020-04-10,9,356,4232
"1353","NH",2020-04-10,16,340,2564
"1354","NJ",2020-04-10,1286,24693,21327
"1355","NM",2020-04-10,12,688,11632
"1356","NV",2020-04-10,61,1070,7147
"1357","NY",2020-04-10,4909,67649,89716
"1358","OH",2020-04-10,140,2566,17632
"1359","OK",2020-04-10,50,806,19055
"1360","OR",2020-04-10,22,422,7771
"1361","PA",2020-04-10,314,11559,39345
"1362","RI",2020-04-10,35,1742,10061
"1363","SC",2020-04-10,41,1511,19677
"1364","SD",2020-04-10,4,349,2518
"1365","TN",2020-04-10,61,1795,23165
"1366","TX",2020-04-10,136,6341,53613
"1367","UT",2020-04-10,10,856,15658
"1368","VA",2020-04-10,75,2497,13957
"1369","VT",2020-04-10,7,253,2637
"1370","WA",2020-04-10,138,2202,27489
"1371","WI",2020-04-10,91,1402,10848
"1372","WV",2020-04-10,3,317,7871
"1373","AK",2020-04-03,2,88,3540
"1374","AL",2020-04-03,32,845,4003
"1375","AR",2020-04-03,9,323,7450
"1376","AZ",2020-04-03,28,1033,15449
"1377","CA",2020-04-03,159,6822,7219
"1378","CO",2020-04-03,73,2298,7991
"1379","CT",2020-04-03,104,3623,7992
"1380","DC",2020-04-03,12,490,2930
"1381","DE",2020-04-03,12,287,4959
"1382","FL",2020-04-03,129,6820,53951
"1383","GA",2020-04-03,120,3830,11570
"1384","IA",2020-04-03,8,464,5014
"1385","ID",2020-04-03,6,702,4386
"1386","IL",2020-04-03,176,5878,20628
"1387","IN",2020-04-03,78,2456,8443
"1388","KS",2020-04-03,13,418,3225
"1389","KY",2020-04-03,25,522,8266
"1390","LA",2020-04-03,251,7551,24735
"1391","MA",2020-04-03,208,7152,26441
"1392","MD",2020-04-03,74,1984,20838
"1393","ME",2020-04-03,8,264,2694
"1394","MI",2020-04-03,706,8780,22920
"1395","MN",2020-04-03,18,479,11458
"1396","MO",2020-04-03,11,1444,18988
"1397","MS",2020-04-03,21,779,2193
"1398","MT",2020-04-03,5,135,2743
"1399","NC",2020-04-03,16,1330,15132
"1400","ND",2020-04-03,3,112,3198
"1401","NE",2020-04-03,6,194,2726
"1402","NH",2020-04-03,4,321,3180
"1403","NJ",2020-04-03,538,21070,21061
"1404","NM",2020-04-03,6,267,5998
"1405","NV",2020-04-03,38,979,6857
"1406","NY",2020-04-03,2416,58228,56539
"1407","OH",2020-04-03,72,2175,16051
"1408","OK",2020-04-03,30,666,231
"1409","OR",2020-04-03,10,485,8025
"1410","PA",2020-04-03,80,6202,32679
"1411","RI",2020-04-03,14,583,2840
"1412","SC",2020-04-03,22,1098,3134
"1413","SD",2020-04-03,1,129,2206
"1414","TN",2020-04-03,31,1864,19884
"1415","TX",2020-04-03,67,3599,28499
"1416","UT",2020-04-03,5,766,14238
"1417","VA",2020-04-03,32,1408,10260
"1418","VT",2020-04-03,7,247,1997
"1419","WA",2020-04-03,139,2820,27481
"1420","WI",2020-04-03,24,1294,9237
"1421","WV",2020-04-03,2,161,4351
"1422","AK",2020-03-27,1,57,1633
"1423","AL",2020-03-27,3,506,4156
"1424","AR",2020-03-27,3,285,1194
"1425","AZ",2020-03-27,13,671,7244
"1426","CA",2020-03-27,58,2816,6956
"1427","CO",2020-03-27,21,1153,6017
"1428","CT",2020-03-27,24,1097,6505
"1429","DC",2020-03-27,2,196,1396
"1430","DE",2020-03-27,5,125,0
"1431","FL",2020-03-27,24,2245,26316
"1432","GA",2020-03-27,51,1581,5898
"1433","IA",2020-03-27,3,190,3098
"1434","ID",2020-03-27,3,166,2078
"1435","IL",2020-03-27,29,2441,14820
"1436","IN",2020-03-27,22,902,5480
"1437","KS",2020-03-27,3,158,2812
"1438","KY",2020-03-27,5,201,3176
"1439","LA",2020-03-27,107,2273,18045
"1440","MA",2020-03-27,52,2837,22449
"1441","MD",2020-03-27,7,625,0
"1442","ME",2020-03-27,1,111,1130
"1443","MI",2020-03-27,199,7580,11099
"1444","MN",2020-03-27,4,337,9864
"1445","MO",2020-03-27,7,622,0
"1446","MS",2020-03-27,7,499,1865
"1447","MT",2020-03-27,0,92,1659
"1448","NC",2020-03-27,3,626,11277
"1449","ND",2020-03-27,0,41,1627
"1450","NE",2020-03-27,0,53,1521
"1451","NH",2020-03-27,1,114,2650
"1452","NJ",2020-03-27,97,7935,16283
"1453","NM",2020-03-27,1,93,4606
"1454","NV",2020-03-27,18,426,4169
"1455","NY",2020-03-27,484,37533,75793
"1456","OH",2020-03-27,18,968,18872
"1457","OK",2020-03-27,7,273,546
"1458","OR",2020-03-27,9,300,6507
"1459","PA",2020-03-27,21,1950,18442
"1460","RI",2020-03-27,0,174,1341
"1461","SC",2020-03-27,8,375,1474
"1462","SD",2020-03-27,0,44,1724
"1463","TN",2020-03-27,6,975,14325
"1464","TX",2020-03-27,18,1537,16852
"1465","UT",2020-03-27,2,368,6729
"1466","VA",2020-03-27,12,490,4522
"1467","VT",2020-03-27,8,169,1911
"1468","WA",2020-03-27,95,2620,27401
"1469","WI",2020-03-27,10,734,9685
"1470","WV",2020-03-27,0,69,1560
