"","state","friday","deaths","positives","negatives"
"188","SD",2020-09-25,18,2479,7764
"189","TN",2020-09-25,156,8957,150546
"190","TX",2020-09-25,651,46311,422337
"191","UT",2020-09-25,11,6755,44725
"192","VA",2020-09-25,187,5731,136683
"193","VT",2020-09-25,0,25,5155
"194","WA",2020-09-25,43,2636,75973
"195","WI",2020-09-25,38,14175,68387
"196","WV",2020-09-25,33,1270,30991
"197","AK",2020-09-18,2,563,23144
"198","AL",2020-09-18,95,6160,35973
"199","AR",2020-09-18,220,5099,64722
"200","AZ",2020-09-18,163,5419,77476
"201","CA",2020-09-18,723,23640,701886
"202","CO",2020-09-18,22,2960,41599
"203","CT",2020-09-18,12,1201,89963
"204","DC",2020-09-18,3,359,25323
"205","DE",2020-09-18,7,900,11040
"206","FL",2020-09-18,729,19279,142226
"207","GA",2020-09-18,291,11956,131677
"208","IA",2020-09-18,49,5078,29356
"209","ID",2020-09-18,27,1872,9864
"210","IL",2020-09-18,138,12642,337935
"211","IN",2020-09-18,75,6178,92156
"212","KS",2020-09-18,85,3899,21920
"213","KY",2020-09-18,57,4424,146737
"214","LA",2020-09-18,138,4213,105020
"215","MA",2020-09-18,88,2596,118537
"216","MD",2020-09-18,41,4338,67653
"217","ME",2020-09-18,4,213,44203
"218","MI",2020-09-18,54,5249,206995
"219","MN",2020-09-18,53,5091,61186
"220","MO",2020-09-18,79,10969,82839
"221","MS",2020-09-18,110,2760,12293
"222","MT",2020-09-18,15,1086,22811
"223","NC",2020-09-18,184,8733,181633
"224","ND",2020-09-18,9,2546,7571
"225","NE",2020-09-18,12,2548,20215
"226","NH",2020-09-18,4,241,9986
"227","NJ",2020-09-18,36,2960,148170
"228","NM",2020-09-18,20,770,37398
"229","NV",2020-09-18,85,2290,21029
"230","NY",2020-09-18,41,5261,563686
"231","OH",2020-09-18,205,7270,226622
"232","OK",2020-09-18,51,6925,72541
"233","OR",2020-09-18,22,1477,22206
"234","PA",2020-09-18,97,5798,80777
"235","RI",2020-09-18,17,715,11817
"236","SC",2020-09-18,149,7272,59656
"237","SD",2020-09-18,21,1958,10783
"238","TN",2020-09-18,171,10638,172325
"239","TX",2020-09-18,716,28885,-38125
"240","UT",2020-09-18,6,5100,30830
"241","VA",2020-09-18,238,7062,97126
"242","VT",2020-09-18,0,38,5486
"243","WA",2020-09-18,46,2591,87331
"244","WI",2020-09-18,41,11529,61224
"245","WV",2020-09-18,34,1509,29833
"246","AK",2020-09-11,3,555,12094
"247","AL",2020-09-11,67,6310,34199
"248","AR",2020-09-11,80,4305,45139
"249","AZ",2020-09-11,117,2842,39654
"250","CA",2020-09-11,599,23908,630782
"251","CO",2020-09-11,28,1898,33769
"252","CT",2020-09-11,12,961,92365
"253","DC",2020-09-11,5,307,17778
"254","DE",2020-09-11,7,714,9342
"255","FL",2020-09-11,755,18170,118579
"256","GA",2020-09-11,315,11427,114767
"257","IA",2020-09-11,70,4519,26743
"258","ID",2020-09-11,35,1690,8399
"259","IL",2020-09-11,130,12584,310024
"260","IN",2020-09-11,70,5621,60056
"261","KS",2020-09-11,30,3166,18559
"262","KY",2020-09-11,57,4027,44223
"263","LA",2020-09-11,167,4740,100369
"264","MA",2020-09-11,79,2228,104310
"265","MD",2020-09-11,39,3893,57518
"266","ME",2020-09-11,0,160,33245
"267","MI",2020-09-11,102,5956,188849
"268","MN",2020-09-11,50,3750,40503
"269","MO",2020-09-11,139,8945,65897
"270","MS",2020-09-11,112,3236,27739
"271","MT",2020-09-11,17,766,13904
"272","NC",2020-09-11,184,8032,161526
"273","ND",2020-09-11,8,1713,5609
"274","NE",2020-09-11,26,1904,18316
"275","NH",2020-09-11,2,252,9776
"276","NJ",2020-09-11,39,2466,173598
"277","NM",2020-09-11,25,617,29586
"278","NV",2020-09-11,64,2094,22373
"279","NY",2020-09-11,34,4820,527027
"280","OH",2020-09-11,155,6882,162746
"281","OK",2020-09-11,42,5602,54754
"282","OR",2020-09-11,24,1264,27546
"283","PA",2020-09-11,95,5223,75149
"284","RI",2020-09-11,16,662,18355
"285","SC",2020-09-11,182,5721,56771
"286","SD",2020-09-11,7,1521,7149
"287","TN",2020-09-11,188,9262,127883
"288","TX",2020-09-11,766,22527,311761
"289","UT",2020-09-11,12,2836,25255
"290","VA",2020-09-11,49,6861,87358
